user_id,age,plan_tier,monthly_spend,is_active,age_group,subscription_tenure_days,watch_count,unique_movies,total_watch_time,avg_watch_time,watch_days,recent_watch_count,days_since_last_watch,avg_progress,completion_rate,download_ratio,avg_rating
user_01621,55.0,1,11.17,1,5,679,20,19,859.5,42.975,19,3.0,9,43.225,0.1,0.3,3.7142857142857135
user_04521,40.0,1,7.13,0,4,847,7,7,528.0,75.42857142857143,6,0.0,126,40.971428571428575,0.0,0.0,0.0
user_07927,64.0,2,35.39,1,6,530,14,14,660.1,47.15,14,0.0,49,47.69285714285714,0.0714285714285714,0.1428571428571428,3.0
user_01217,52.0,3,7.62,1,5,471,12,12,832.7,69.39166666666667,12,0.0,68,29.49166666666667,0.0833333333333333,0.1666666666666666,3.0
user_07125,33.0,1,60.98,0,3,662,13,12,709.6,54.58461538461539,12,1.0,8,37.54615384615385,0.1538461538461538,0.1538461538461538,3.0
user_09038,51.0,2,6.76,1,5,863,10,10,550.9,55.09,9,0.0,54,52.220000000000006,0.0,0.0,3.0
user_03916,55.0,2,34.05,0,5,783,5,4,279.9,55.98,5,1.0,11,40.82000000000001,0.0,0.4,4.0
user_02002,35.0,3,31.51,0,3,1243,11,11,702.6,63.87272727272728,11,2.0,6,37.85454545454545,0.0909090909090909,0.0909090909090909,2.0
user_01378,49.0,3,25.52,0,4,399,8,7,213.8,26.725,7,0.0,176,63.45,0.125,0.25,3.333333333333333
user_00828,35.0,3,20.55,1,3,1182,19,17,1119.3,58.91052631578947,17,1.0,29,44.4,0.1578947368421052,0.2631578947368421,3.0
user_04789,23.0,2,5.05,0,2,884,7,7,254.3,36.32857142857143,7,0.0,139,32.128571428571426,0.0,0.0,4.5
user_00160,11.0,3,17.58,0,1,444,10,10,337.0,33.7,9,0.0,39,53.27,0.1,0.3,5.0
user_09698,30.0,2,6.09,0,3,840,10,10,493.5,49.35,10,0.0,63,53.16,0.0,0.2,4.0
user_04389,26.0,3,13.65,0,2,1132,11,11,741.5,67.4090909090909,11,0.0,127,29.536363636363635,0.0909090909090909,0.0909090909090909,3.25
user_00096,30.0,3,7.71,0,3,208,13,12,680.8,52.36923076923077,12,1.0,11,42.12307692307692,0.0769230769230769,0.1538461538461538,4.333333333333333
user_02628,23.0,2,7.94,0,2,1054,13,12,1198.0,92.15384615384616,12,1.0,19,36.55384615384615,0.0,0.1538461538461538,3.0
user_05310,42.0,1,13.48,0,4,215,7,7,259.8,37.114285714285714,7,1.0,20,38.971428571428575,0.1428571428571428,0.1428571428571428,4.0
user_06515,49.0,2,18.39,1,4,369,7,7,1252.8,178.97142857142856,7,1.0,24,47.0,0.0,0.1428571428571428,3.0
user_01988,15.0,4,17.65,0,1,443,11,10,630.1,57.28181818181818,10,0.0,65,40.97272727272727,0.0,0.0909090909090909,3.0
user_05297,46.0,2,32.5,1,4,1185,12,11,618.8,51.56666666666666,11,0.0,141,50.01666666666666,0.1666666666666666,0.4166666666666667,4.25
user_02357,25.0,1,10.34,0,2,1030,9,9,474.6,52.73333333333333,9,1.0,26,28.677777777777774,0.0,0.2222222222222222,3.25
user_08408,20.0,1,9.89,0,2,696,9,9,537.4,59.71111111111111,9,0.0,33,50.72222222222222,0.1111111111111111,0.4444444444444444,4.666666666666667
user_00442,33.0,2,17.8,1,3,1185,9,9,725.1,80.56666666666666,9,1.0,26,31.43333333333333,0.0,0.2222222222222222,3.0
user_08702,32.0,3,14.51,0,3,229,9,9,411.1,45.67777777777778,9,0.0,37,51.03333333333333,0.1111111111111111,0.1111111111111111,2.5
user_00660,19.0,2,22.3,1,1,1082,10,10,751.9000000000001,75.19000000000001,10,0.0,74,50.540000000000006,0.1,0.2,4.0
user_07665,19.0,3,16.5,0,1,830,9,9,421.1,46.78888888888889,9,0.0,147,45.833333333333336,0.1111111111111111,0.1111111111111111,5.0
user_07575,27.0,3,11.33,1,2,689,14,12,1008.0,72.0,13,0.0,56,48.221428571428575,0.0714285714285714,0.2857142857142857,4.5
user_02343,35.0,1,7.02,0,3,461,6,6,345.20000000000005,57.53333333333334,6,0.0,58,44.21666666666667,0.0,0.3333333333333333,0.0
user_05401,25.0,2,5.77,1,2,1061,12,12,600.3,50.025,12,0.0,32,52.375,0.25,0.1666666666666666,4.0
user_08608,29.0,2,29.36,0,2,204,12,11,540.4,45.03333333333333,11,0.0,162,44.50833333333333,0.1666666666666666,0.3333333333333333,2.8
user_02821,16.0,2,14.19,0,1,1149,7,6,337.29999999999995,48.18571428571428,6,0.0,34,31.7,0.0,0.2857142857142857,1.0
user_03897,51.0,2,3.8,0,5,1232,6,6,293.5,48.91666666666666,6,0.0,175,35.21666666666667,0.0,0.1666666666666666,2.0
user_07271,17.0,1,25.33,0,1,469,8,8,419.3,52.4125,8,0.0,48,54.75,0.125,0.25,0.0
user_05375,39.0,3,10.34,0,3,576,10,10,515.9,51.59,10,0.0,35,55.9,0.4,0.1,3.25
user_03980,24.0,3,0.77,0,2,750,6,6,359.9,59.98333333333333,6,0.0,249,64.36666666666666,0.3333333333333333,0.3333333333333333,0.0
user_06494,40.0,1,31.46,0,4,308,9,9,620.7,68.96666666666667,9,0.0,68,56.333333333333336,0.3333333333333333,0.2222222222222222,3.0
user_07317,19.0,3,13.72,1,1,451,8,8,565.0,70.625,8,2.0,4,51.400000000000006,0.125,0.125,2.0
user_08089,25.0,2,50.97,0,2,579,8,8,345.4,43.175,8,0.0,75,42.175,0.0,0.375,4.5
user_08238,46.0,3,11.71,0,4,295,10,9,350.8,35.08,9,0.0,53,47.45,0.0,0.1,4.0
user_05908,30.0,3,31.12,0,3,1074,7,7,288.6,41.22857142857144,7,0.0,168,58.91428571428571,0.1428571428571428,0.2857142857142857,3.5
user_02937,46.0,2,11.07,1,4,1052,10,9,719.6,71.96000000000001,9,0.0,60,56.19,0.4,0.1,3.333333333333333
user_07397,1.0,3,3.51,0,0,898,13,11,670.6,51.58461538461539,11,1.0,19,44.93846153846154,0.1538461538461538,0.0769230769230769,3.5
user_01684,25.0,3,13.49,1,2,1186,6,6,257.29999999999995,42.883333333333326,6,0.0,32,51.26666666666667,0.0,0.1666666666666666,5.0
user_06601,41.0,4,22.49,1,4,1090,11,9,655.3,59.57272727272727,10,0.0,201,51.97272727272728,0.2727272727272727,0.1818181818181818,4.333333333333333
user_04953,23.0,2,16.26,0,2,606,4,4,206.6,51.65,4,0.0,366,44.775000000000006,0.0,0.0,0.0
user_03969,26.0,4,12.86,1,2,220,10,9,1021.8,102.18,9,0.0,36,33.84,0.0,0.0,2.6666666666666665
user_05975,46.0,3,23.35,1,4,1079,10,10,693.5,69.35,10,0.0,73,50.41,0.0,0.3,5.0
user_01280,32.0,1,6.43,0,3,1190,9,9,407.6,45.28888888888889,9,0.0,115,43.888888888888886,0.1111111111111111,0.1111111111111111,3.333333333333333
user_05273,24.0,1,5.53,0,2,307,9,9,343.40000000000003,38.15555555555556,9,1.0,2,49.02222222222222,0.2222222222222222,0.2222222222222222,1.0
user_06363,31.0,1,12.09,0,3,973,8,8,317.1,39.6375,8,0.0,47,53.5,0.125,0.0,3.5
user_08871,36.0,2,9.17,1,3,1015,14,14,1032.5,73.75,14,2.0,3,50.3,0.1428571428571428,0.1428571428571428,2.0
user_06165,34.0,1,13.48,0,3,164,8,8,471.7,58.9625,8,1.0,9,58.125,0.125,0.125,3.0
user_00318,36.0,3,14.67,0,3,979,8,8,515.1999999999999,64.39999999999999,8,0.0,143,56.4375,0.0,0.25,3.6666666666666665
user_07540,27.0,1,24.44,1,2,822,16,13,1137.4,71.0875,12,0.0,128,45.54375,0.0625,0.1875,2.0
user_07951,43.0,2,44.26,1,4,784,7,7,439.5,62.785714285714285,7,0.0,72,59.94285714285714,0.1428571428571428,0.1428571428571428,4.0
user_07845,34.0,3,28.4,1,3,1045,8,8,225.6,28.200000000000003,8,0.0,78,62.575,0.0,0.25,4.0
user_02728,28.0,2,20.69,1,2,1057,10,10,646.6,64.66,10,1.0,29,59.760000000000005,0.2,0.3,2.5
user_00522,26.0,2,12.98,1,2,704,15,14,1198.3,79.88666666666667,15,0.0,133,48.306666666666665,0.0666666666666666,0.2,2.75
user_05991,48.0,3,11.75,0,4,1020,6,6,225.9,37.65,6,0.0,59,55.95,0.1666666666666666,0.1666666666666666,3.0
user_02822,44.0,3,0.53,0,4,701,13,11,513.9,39.53076923076923,11,1.0,19,38.12307692307692,0.0,0.2307692307692307,3.0
user_03675,33.0,3,8.28,0,3,1222,13,12,798.4,61.41538461538461,13,1.0,28,41.35384615384616,0.0,0.0769230769230769,3.75
user_00401,60.0,2,9.1,1,6,670,8,8,691.0,86.375,8,1.0,21,67.4,0.375,0.0,4.5
user_09705,12.0,3,19.43,0,1,187,11,11,619.3,56.3,11,1.0,30,46.95454545454545,0.2727272727272727,0.1818181818181818,4.0
user_04601,51.0,2,21.88,1,5,748,11,11,635.6,57.78181818181818,11,0.0,105,26.227272727272727,0.0,0.1818181818181818,3.75
user_03952,44.0,1,9.03,0,4,392,16,15,915.1,57.19375,15,0.0,38,23.675,0.0,0.25,3.5
user_06327,41.0,3,5.59,1,4,330,11,11,989.6,89.96363636363637,11,0.0,151,22.181818181818183,0.0,0.1818181818181818,5.0
user_06971,40.0,2,13.48,1,4,657,17,15,715.5,42.088235294117645,15,1.0,4,54.77058823529412,0.1764705882352941,0.1764705882352941,4.666666666666667
user_03019,19.0,2,20.93,1,1,874,8,7,317.8,39.725,7,0.0,191,44.6625,0.25,0.375,0.0
user_05383,54.0,2,10.61,1,5,947,10,10,531.6,53.16,10,0.0,87,52.7,0.1,0.4,4.5
user_09422,37.0,1,13.48,1,3,828,15,14,1141.2,76.08,14,0.0,66,53.406666666666666,0.2,0.0666666666666666,3.5
user_05057,57.0,2,10.97,1,5,856,15,12,835.3000000000001,55.68666666666668,14,0.0,34,47.43333333333333,0.0666666666666666,0.1333333333333333,3.25
user_08181,28.0,2,24.29,0,2,552,9,8,577.2,64.13333333333334,8,0.0,168,37.68888888888889,0.1111111111111111,0.0,5.0
user_01700,33.0,3,21.66,1,3,1016,18,17,1220.8,67.82222222222222,17,2.0,999,48.19444444444444,0.0555555555555555,0.1666666666666666,4.0
